GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sonar-tutorial,edu.byu.cs.sonar,CustomFileReader,52,89,6,6,12,25,8,10,5,7
sonar-tutorial,edu.byu.cs.sonar,Main,9,62,0,2,3,14,1,2,1,1
